#,DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME,
148.77,LILLY ELI & CO,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
148.78,U G I CORP NEW,N/A,None (or less,Dividends,"$5,001 - $15,000",
,,,"than $1,001)",Capital Gains,,
148.79,PROCTER & GAMBLE CO,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
148.8,PUBLIC STORAGE INC REIT,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.81,ICU MED INC,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.82,PEPSICO INC,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
148.83,HOME DEPOT INC,N/A,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
148.84,MORGAN STANLEY,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.85,KIMCO REALTY CORP,N/A,None (or less,Dividends,"$5,001 - $15,000",
,,,"than $1,001)",Capital Gains,,
148.86,POST PROPERTIES INC (Name change to,N/A,None (or less,Dividends,"$5,001 - $15,000",
,"Mid-America Apartment Communities, Inc.)",,"than $1,001)",Capital Gains,,
148.87,MC DONALD'S CORPORATION,N/A,None (or less,Dividends,"$50,001 -",
,,,"than $1,001)",Capital Gains,"$100,000 ",
148.88,SCHEIN HENRY INC,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.89,PFIZER INC,N/A,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
148.9,"ROCKWELL AUTOMATION, INC.",N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.91,QUALITY CARE PROPERTIES -W/I,No,None (or less,Capital Gains,None (or less,
,,,"than $1,001)",,than $201),
148.92,GENERAL ELECTRIC CO,N/A,None (or less,Dividends,"$100,001 -",
,,,"than $1,001)",Capital Gains,"$1,000,000 ",
148.93,HERC HOLDINGS INC,No,None (or less,Capital Gains,"$1,001 - $2,500",
,,,"than $1,001)",,,
148.94,QUINSTREET INC,No,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
148.95,ENDO INTERNATIONAL PLC,No,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
148.96,HERTZ GLOBAL HOLDINGS INC,No,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
148.97,GENPACT LTD,No,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
148.98,STERICYCLE INC,No,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
148.99,MARKEL CORP,N/A,None (or less,Dividends,"$15,001 -",
,,,"than $1,001)",Capital Gains,"$50,000 ",
148.1,SYNOPSYS INC,N/A,None (or less,Dividends,"$15,001 -",
0,,,"than $1,001)",Capital Gains,"$50,000 ",
148.1,YUM CHINA HOLDINGS INC,No,None (or less,Capital Gains,"$5,001 - $15,000",
1,,,"than $1,001)",,,
148.1,ADIENT PLC,No,None (or less,Capital Gains,"$1,001 - $2,500",
2,,,"than $1,001)",,,
148.1,INGEVITY CORP,No,None (or less,Capital Gains,"$2,501 - $5,000",
3,,,"than $1,001)",,,
148.1,VERSUM MATERIALS INC,No,None (or less,Capital Gains,"$2,501 - $5,000",
4,,,"than $1,001)",,,
148.1,RITE AID CORP,No,None (or less,,None (or less,
5,,,"than $1,001)",,than $201),
148.1,MURPHY USA INC-W/1,N/A,None (or less,Dividends,"$5,001 - $15,000",
6,,,"than $1,001)",Capital Gains,,
148.1,PENNEY J C INC,No,None (or less,,None (or less,
7,,,"than $1,001)",,than $201),
148.1,MYRIAD GENETICS INC,N/A,None (or less,Dividends,"$201 - $1,000",
8,,,"than $1,001)",Capital Gains,,
148.1,WEATHERFORD INTERNATIONAL PL,No,None (or less,,None (or less,
9,,,"than $1,001)",,than $201),
148.11,ALPHABET INC-CL C,No,None (or less,Capital Gains,"$100,001 -",
0,,,"than $1,001)",,"$1,000,000 ",
148.11,KEYCORP NEW,N/A,None (or less,Dividends,"$15,001 -",
1,,,"than $1,001)",Capital Gains,"$50,000 ",
148.11,NEKTAR THERAPEUTICS,No,None (or less,,None (or less,
2,,,"than $1,001)",,than $201),
148.11,ALCOA UPSTREAM CORP,N/A,None (or less,Dividends,"$2,501 - $5,000",
3,,,"than $1,001)",Capital Gains,,
148.11,ALNYLAM PHARMACEUTICALS INC,No,None (or less,,None (or less,
4,,,"than $1,001)",,than $201),
148.11,DELL TECHNOLOGIES-CL V,No,None (or less,Capital Gains,"$1,001 - $2,500",
5,,,"than $1,001)",Dividends,,
148.11,BABCOCK & WILCOX ENTERPR-W/I,No,None (or less,,None (or less,
6,,,"than $1,001)",,than $201),
148.11,P P G INDUSTRIES INC,N/A,None (or less,Dividends,"$15,001 -",
7,,,"than $1,001)",Capital Gains,"$50,000 ",
148.11,IONIS PHARMACEUTICALS INC,No,None (or less,Capital Gains,"$201 - $1,000",
8,,,"than $1,001)",,,
148.11,HOST HOTELS & RESORTS INC,N/A,None (or less,Dividends,"$5,001 - $15,000",
9,,,"than $1,001)",Capital Gains,,
148.12,UNITED STATES CELLULAR CORP,N/A,None (or less,Dividends,"$201 - $1,000",
0,,,"than $1,001)",Capital Gains,,
148.12,SUNTRUST BANKS INC,N/A,None (or less,Dividends,"$15,001 -",
1,,,"than $1,001)",Capital Gains,"$50,000 ",
148.12,SPROUTS FARMERS MARKETS INC,No,None (or less,,None (or less,
2,,,"than $1,001)",,than $201),
148.12,CHUBB LTD,No,None (or less,Capital Gains,"$15,001 -",
3,,,"than $1,001)",,"$50,000 ",
148.12,MALLINCKRODT PLC,No,None (or less,,None (or less,
4,,,"than $1,001)",,than $201),
148.12,H P INC,No,None (or less,Capital Gains,"$5,001 - $15,000",
5,,,"than $1,001)",,,
148.12,ALPHABET INC/CA-CL A,No,None (or less,Capital Gains,"$100,001 -",
6,,,"than $1,001)",,"$1,000,000 ",
148.12,MICHAEL KORS HOLDINGS LTD,No,None (or less,,None (or less,
7,,,"than $1,001)",,than $201),
148.12,TOPBUILD CORP,No,None (or less,Capital Gains,"$1,001 - $2,500",
8,,,"than $1,001)",,,
148.12,X L GROUP LTD,No,None (or less,Capital Gains,"$15,001 -",
9,,,"than $1,001)",,"$50,000 ",
148.13,MYLAN NV,No,None (or less,,None (or less,
0,,,"than $1,001)",,than $201),
148.13,MANITOWOC FOODSERVICE INC,No,None (or less,Capital Gains,"$5,001 - $15,000",
1,,,"than $1,001)",,,
148.13,LINCOLN NATL CORP IND,N/A,None (or less,Dividends,"$15,001 -",
2,,,"than $1,001)",Capital Gains,"$50,000 ",
148.13,SEMPRA ENERGY,N/A,None (or less,Dividends,"$15,001 -",
3,,,"than $1,001)",Capital Gains,"$50,000 ",
148.13,NORFOLK SOUTHERN CORP,N/A,None (or less,Dividends,"$15,001 -",
4,,,"than $1,001)",Capital Gains,"$50,000 ",
148.13,MATTEL INC,N/A,None (or less,Dividends,"$5,001 - $15,000",
5,,,"than $1,001)",Capital Gains,,
148.13,VENTAS INC,N/A,None (or less,Dividends,"$5,001 - $15,000",
6,,,"than $1,001)",Capital Gains,,
148.13,MARRIOTT INTL INC NEW CL A,N/A,None (or less,Dividends,"$50,001 -",
7,,,"than $1,001)",Capital Gains,"$100,000 ",
148.13,PIONEER NATURAL RESOURCES CO,N/A,None (or less,Dividends,"$15,001 -",
8,,,"than $1,001)",Capital Gains,"$50,000 ",
148.13,P V H CORP,No,None (or less,,None (or less,
9,,,"than $1,001)",,than $201),
148.14,RANGE RESOURCES CORP,N/A,None (or less,Dividends,"$1,001 - $2,500",
0,,,"than $1,001)",Capital Gains,,
148.14,PERRIGO CO PLC,No,None (or less,,None (or less,
1,,,"than $1,001)",,than $201),
148.14,TEXTRON INC,N/A,None (or less,Dividends,"$15,001 -",
2,,,"than $1,001)",Capital Gains,"$50,000 ",
148.14,FORTIVE CORP.,No,None (or less,Capital Gains,"$5,001 - $15,000",
3,,,"than $1,001)",,,
148.14,NATIONAL OILWELL VARCO INC.,N/A,None (or less,Dividends,"$5,001 - $15,000",
4,,,"than $1,001)",Capital Gains,,
148.14,LENNAR CORP CLASS A,N/A,None (or less,Dividends,"$2,501 - $5,000",
5,,,"than $1,001)",Capital Gains,,
148.14,SHIRE PLC,No,None (or less,,None (or less,
6,,,"than $1,001)",,than $201),
148.14,TEREX CORP NEW,N/A,None (or less,Dividends,"$5,001 - $15,000",
7,,,"than $1,001)",Capital Gains,,
148.14,I L G INC,No,None (or less,Capital Gains,"$1,001 - $2,500",
8,,,"than $1,001)",,,
148.14,SIGNET JEWELERS LTD,No,None (or less,,None (or less,
9,,,"than $1,001)",,than $201),
148.15,LEUCADIA NATL CORP,N/A,None (or less,Dividends,"$2,501 - $5,000",
0,,,"than $1,001)",Capital Gains,,
148.15,VULCAN MATERIALS CO,N/A,None (or less,Dividends,"$5,001 - $15,000",
1,,,"than $1,001)",Capital Gains,,
148.15,SOUTHERN CO,N/A,None (or less,,None (or less,
2,,,"than $1,001)",,than $201),
148.15,NEWMONT MINING CORP,N/A,None (or less,Dividends,"$5,001 - $15,000",
3,,,"than $1,001)",Capital Gains,,
148.15,LAMB WESTON HOLDINGS INC,No,None (or less,Capital Gains,"$2,501 - $5,000",
4,,,"than $1,001)",,,
148.15,PNC FINANCIAL SERVICES GROUP,N/A,None (or less,Dividends,"$15,001 -",
5,,,"than $1,001)",Capital Gains,"$50,000 ",
148.15,FOREST CITY REAL TV TRUST- A,No,None (or less,Capital Gains,"$5,001 - $15,000",
6,,,"than $1,001)",,,
148.15,SCHWAB CHARLES CORP NEW,N/A,None (or less,Dividends,"$5,001 - $15,000",
7,,,"than $1,001)",Capital Gains,,
148.15,TOOTSIE ROLL INDS INC,N/A,None (or less,Dividends,"$1,001 - $2,500",
8,,,"than $1,001)",Capital Gains,,
148.15,THERMO FISHER SCIENTIFIC INC.,N/A,None (or less,Dividends,"$15,001 -",
9,,,"than $1,001)",Capital Gains,"$50,000 ",
148.16,MARTIN MARIETTA MATLS INC,N/A,None (or less,Dividends,"$5,001 - $15,000",
0,,,"than $1,001)",Capital Gains,,
148.16,NIKE INC CLASS B,N/A,None (or less,Dividends,"$50,001 -",
1,,,"than $1,001)",Capital Gains,"$100,000 ",
148.16,HUMANA INC,N/A,None (or less,Dividends,"$15,001 -",
2,,,"than $1,001)",Capital Gains,"$50,000 ",
148.16,PACCAR INC,N/A,None (or less,Dividends,"$5,001 - $15,000",
3,,,"than $1,001)",Capital Gains,,
148.16,TWITTER INC,No,None (or less,,None (or less,
4,,,"than $1,001)",,than $201),
148.16,MADISON SQUARE GARDEN CO/,No,None (or less,Capital Gains,"$5,001 - $15,000",
5,,,"than $1,001)",,,
148.16,UNITED NAT FOODS INC,N/A,None (or less,Dividends,"$1,001 - $2,500",
6,,,"than $1,001)",Capital Gains,,
148.16,WYNN RESORTS LTD,N/A,None (or less,Dividends,"$2,501 - $5,000",
7,,,"than $1,001)",Capital Gains,,
148.16,VIAVI SOLUTIONS INC,No,None (or less,Capital Gains,"$5,001 - $15,000",
8,,,"than $1,001)",,,
148.16,EDGEWELL PERSONAL CARE CO,No,None (or less,Dividends,"$5,001 - $15,000",
9,,,"than $1,001)",Capital Gains,,
148.17,SBA COMMUNICATIONS CORP,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
0,,,"than $1,001)",,,
148.17,IHS MARKIT LTD,No,None (or less,Capital Gains,"$2,501 - $5,000",
1,,,"than $1,001)",,,
148.17,OMNICOM GROUP INC,N/A,None (or less,,None (or less,
2,,,"than $1,001)",,than $201),
148.17,C B L & ASSOCIATES PROPERTIES INC,No,None (or less,Capital Gains,None (or less,
3,,,"than $1,001)",,than $201),
148.17,SOUTHWEST GAS CORP,N/A,None (or less,Dividends,"$15,001 -",
4,,,"than $1,001)",Capital Gains,"$50,000 ",
148.17,NEWFIELD EXPL CO,N/A,None (or less,Dividends,"$5,001 - $15,000",
5,,,"than $1,001)",Capital Gains,,
148.17,ARCONIC INC.,No,None (or less,Capital Gains,"$5,001 - $15,000",
6,,,"than $1,001)",,,
148.17,OSHKOSH CORPORATION,N/A,None (or less,Dividends,"$5,001 - $15,000",
7,,,"than $1,001)",Capital Gains,,
148.17,ILLINOIS TOOL WKS INC,N/A,None (or less,Dividends,"$15,001 -",
8,,,"than $1,001)",Capital Gains,"$50,000 ",
148.17,T -MOBILE US INC,N/A,None (or less,Dividends,"$5,001 - $15,000",
9,,,"than $1,001)",Capital Gains,,
148.18,INCYTE CORPORATION,N/A,None (or less,Dividends,"$5,001 - $15,000",
0,,,"than $1,001)",Capital Gains,,
148.18,F M C CORP,N/A,None (or less,Dividends,"$5,001 - $15,000",
1,,,"than $1,001)",Capital Gains,,
148.18,TERADYNE INC,N/A,None (or less,Dividends,"$15,001 -",
2,,,"than $1,001)",Capital Gains,"$50,000 ",
148.18,KIRBY CORP,N/A,None (or less,Dividends,"$5,001 - $15,000",
3,,,"than $1,001)",Capital Gains,,
148.18,KRAFT HEINZ CO/THE,No,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
148.18,FMC TECHNOLOGIES INC,N/A,None (or less,Dividends,"$5,001 - $15,000",
5,,,"than $1,001)",Capital Gains,,
148.18,WASHINGTON PRIME GROUP INC,No,None (or less,Capital Gains,"$201 - $1,000",
6,,,"than $1,001)",Dividends,,
148.18,LINKEDIN CORP - A,N/A,None (or less,Dividends,"$5,001 - $15,000",
7,,,"than $1,001)",Capital Gains,,
148.18,VERISIGN INC,N/A,None (or less,Dividends,"$5,001 - $15,000",
8,,,"than $1,001)",Capital Gains,,
148.18,QIAGEN NV,No,None (or less,Capital Gains,"$5,001 - $15,000",
9,,,"than $1,001)",,,
148.19,SUPERIOR ENERGY SVCS INC,N/A,None (or less,Dividends,"$5,001 - $15,000",
0,,,"than $1,001)",Capital Gains,,
148.19,S E I INVESTMENTS COMPANY,N/A,None (or less,Dividends,"$15,001 -",
1,,,"than $1,001)",Capital Gains,"$50,000 ",
148.19,FREEPORT-MCMORAN INC,N/A,None (or less,Dividends,"$5,001 - $15,000",
2,,,"than $1,001)",Capital Gains,,
148.19,LEGG MASON INC,N/A,None (or less,Dividends,"$5,001 - $15,000",
3,,,"than $1,001)",Capital Gains,,
148.19,MASCO CORP,N/A,None (or less,Dividends,"$15,001 -",
4,,,"than $1,001)",Capital Gains,"$50,000 ",
148.19,REGENERON PHARMACEUTICALS INC,N/A,None (or less,Dividends,"$15,001 -",
5,,,"than $1,001)",Capital Gains,"$50,000 ",
148.19,MACK CALI RLTY CORP,N/A,None (or less,Dividends,"$2,501 - $5,000",
6,,,"than $1,001)",Capital Gains,,
148.19,PROGRESS SOFTWARE CORP,N/A,None (or less,Dividends,"$5,001 - $15,000",
7,,,"than $1,001)",Capital Gains,,
148.19,TEGNA INC.,No,None (or less,Capital Gains,"$5,001 - $15,000",
8,,,"than $1,001)",,,
148.19,HASBRO INC,N/A,None (or less,Dividends,"$5,001 - $15,000",
9,,,"than $1,001)",Capital Gains,,
148.2,INTERPUBLIC GROUP COS INC,N/A,None (or less,Dividends,"$5,001 - $15,000",
0,,,"than $1,001)",Capital Gains,,
148.2,ROSS STORES INC,N/A,None (or less,Dividends,"$50,001 -",
1,,,"than $1,001)",Capital Gains,"$100,000 ",
148.2,NUCOR CORP,N/A,None (or less,Dividends,"$5,001 - $15,000",
2,,,"than $1,001)",Capital Gains,,
148.2,FULTON FINL CORP PA,N/A,None (or less,Dividends,"$5,001 - $15,000",
3,,,"than $1,001)",Capital Gains,,
148.2,JOHNSON & JOHNSON,N/A,None (or less,Dividends,"$100,001 -",
4,,,"than $1,001)",Capital Gains,"$1,000,000 ",
148.2,TARGET CORP,No,None (or less,,None (or less,
5,,,"than $1,001)",,than $201),
148.2,MICROSOFT CORPORATION,N/A,None (or less,Dividends,"$100,001 -",
6,,,"than $1,001)",Capital Gains,"$1,000,000 ",
148.2,"ADVANSIX, INC",No,None (or less,Dividends,"$201 - $1,000",
7,,,"than $1,001)",Capital Gains,,
148.2,St Jude Medical Inc,No,None (or less,Capital Gains,"$5,001 - $15,000",
8,,,"than $1,001)",,,
148.2,FMC Technologies Inc,No,None (or less,Capital Gains,"$5,001 - $15,000",
9,,,"than $1,001)",,,
148.21,Abbott Laboratories,No,None (or less,Capital Gains,None (or less,
0,,,"than $1,001)",,than $201),
148.21,JP Morgan Chase & Co,No,None (or less,Capital Gains,"$100,001 -",
1,,,"than $1,001)",Dividends,"$1,000,000 ",
148.21,Fluor Corp,No,None (or less,Capital Gains,"$5,001 - $15,000",
2,,,"than $1,001)",,,
148.21,Aetna Inc,No,None (or less,Capital Gains,"$50,001 -",
3,,,"than $1,001)",,"$100,000 ",
148.21,moodys corp,No,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
148.21,new york community bancorp,No,None (or less,Capital Gains,"$1,001 - $2,500",
5,,,"than $1,001)",,,
148.21,Carmax Inc,No,None (or less,Capital Gains,"$15,001 -",
6,,,"than $1,001)",,"$50,000 ",
148.21,ON Semiconductor Corporation - Common,No,None (or less,Capital Gains,"$5,001 - $15,000",
7,Stock,,"than $1,001)",,,
148.21,Exelon Corp,No,None (or less,Capital Gains,"$2,501 - $5,000",
8,,,"than $1,001)",,,
148.21,Monsanto Co.,No,None (or less,Capital Gains,"$15,001 -",
9,,,"than $1,001)",,"$50,000 ",
148.22,Coach Inc,No,None (or less,Capital Gains,"$5,001 - $15,000",
0,,,"than $1,001)",,,
148.22,Dun & Bradstreet Corp,No,None (or less,Capital Gains,"$2,501 - $5,000",
1,,,"than $1,001)",,,
148.22,"CenterState Banks, Inc. - Common Stock",No,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.22,AFLAC Inc,No,None (or less,Capital Gains,"$15,001 -",
3,,,"than $1,001)",,"$50,000 ",
148.22,Abbott Laboratories,No,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
148.22,ConocoPhillips,No,None (or less,Capital Gains,"$5,001 - $15,000",
5,,,"than $1,001)",,,
148.22,Adobe Systems Incorporated - Common,No,None (or less,Capital Gains,"$15,001 -",
6,Stock,,"than $1,001)",,"$50,000 ",
148.22,affiliated managers group inc,No,None (or less,Capital Gains,"$5,001 - $15,000",
7,,,"than $1,001)",,,
148.22,"air products & chemicals, inc",No,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.22,alaska air group,No,None (or less,Capital Gains,"$2,501 - $5,000",
9,,,"than $1,001)",,,
148.23,Allstate Corp,No,None (or less,Capital Gains,"$50,001 -",
0,,,"than $1,001)",,"$100,000 ",
148.23,"Amazon.com, Inc. - Common Stock",No,None (or less,Capital Gains,"$100,001 -",
1,,,"than $1,001)",,"$1,000,000 ",
148.23,American Electric Power,No,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.23,American Express Co,No,None (or less,Capital Gains,"$50,001 -",
3,,,"than $1,001)",,"$100,000 ",
148.23,Anadarko Petroleum Corp,No,None (or less,Capital Gains,"$5,001 - $15,000",
4,,,"than $1,001)",,,
148.23,"Analog Devices, Inc. - Common Stock",No,None (or less,Capital Gains,"$15,001 -",
5,,,"than $1,001)",,"$50,000 ",
148.23,"annaly capital management, inc",No,None (or less,Capital Gains,"$1,001 - $2,500",
6,,,"than $1,001)",,,
148.23,Apache Corp,No,None (or less,Capital Gains,"$5,001 - $15,000",
7,,,"than $1,001)",,,
148.23,Apple Inc. - Common Stock,No,None (or less,Capital Gains,"$100,001 -",
8,,,"than $1,001)",,"$1,000,000 ",
148.23,"Applied Materials, Inc. - Common Stock",No,None (or less,Capital Gains,"$15,001 -",
9,,,"than $1,001)",,"$50,000 ",
148.24,Associated Banc-Corp - Common Stock,No,None (or less,Capital Gains,"$5,001 - $15,000",
0,,,"than $1,001)",,,
148.24,avista corp,No,None (or less,Capital Gains,"$5,001 - $15,000",
1,,,"than $1,001)",,,
148.24,astoria financial corp,No,None (or less,Capital Gains,"$5,001 - $15,000",
2,,,"than $1,001)",,,
148.24,"Autodesk, Inc. - Common Stock",No,None (or less,Capital Gains,"$15,001 -",
3,,,"than $1,001)",,"$50,000 ",
148.24,AutoZone Inc,No,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
148.24,AvalonBay Communities Inc,No,None (or less,Capital Gains,"$15,001 -",
5,,,"than $1,001)",,"$50,000 ",
148.24,"Avnet, Inc.",No,None (or less,Capital Gains,"$5,001 - $15,000",
6,,,"than $1,001)",,,
148.24,BB&T Corp,No,None (or less,Capital Gains,"$5,001 - $15,000",
7,,,"than $1,001)",,,
148.24,Baker Hughes Inc,No,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.24,Bard C.R. Inc,No,None (or less,Capital Gains,"$50,001 -",
9,,,"than $1,001)",,"$100,000 ",
148.25,Becton Dickinson & Co,No,None (or less,Capital Gains,"$15,001 -",
0,,,"than $1,001)",,"$50,000 ",
148.25,Bed Bath & Beyond Inc. - Common Stock,No,None (or less,Capital Gains,"$2,501 - $5,000",
1,,,"than $1,001)",,,
148.25,benchmark electrs inc,No,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.25,Best Buy Co Inc,No,None (or less,Capital Gains,"$5,001 - $15,000",
3,,,"than $1,001)",,,
148.25,black hills corp,No,None (or less,Capital Gains,"$5,001 - $15,000",
4,,,"than $1,001)",,,
148.25,bio rad labs inc,No,None (or less,Capital Gains,"$15,001 -",
5,,,"than $1,001)",,"$50,000 ",
148.25,Block H & R Inc,No,None (or less,Capital Gains,"$15,001 -",
6,,,"than $1,001)",,"$50,000 ",
148.25,borg warner inc,No,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.25,brinker intl inc,No,None (or less,Capital Gains,None (or less,
8,,,"than $1,001)",,than $201),
148.25,Boston Properties Inc,No,None (or less,Capital Gains,"$15,001 -",
9,,,"than $1,001)",,"$50,000 ",
148.26,Bristol-Myers Squibb,No,None (or less,Capital Gains,"$15,001 -",
0,,,"than $1,001)",,"$50,000 ",
148.26,Brown-Forman Corp B,No,None (or less,Capital Gains,"$5,001 - $15,000",
1,,,"than $1,001)",,,
148.26,Aceto Corporation - Common Stock,No,None (or less,Capital Gains,"$2,501 - $5,000",
2,,,"than $1,001)",,,
148.26,cdi corp,No,None (or less,Capital Gains,"$5,001 - $15,000",
3,,,"than $1,001)",,,
148.26,C M S Energy Corp,No,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
148.26,CSX Corp,No,None (or less,Capital Gains,"$15,001 -",
5,,,"than $1,001)",,"$50,000 ",
148.26,Cabot Oil & Gas A,No,None (or less,Capital Gains,"$5,001 - $15,000",
6,,,"than $1,001)",,,
148.26,cabot corp,No,None (or less,Capital Gains,"$2,501 - $5,000",
7,,,"than $1,001)",,,
148.26,"Cadence Design Systems, Inc. - Common",No,None (or less,Capital Gains,"$15,001 -",
8,Stock,,"than $1,001)",,"$50,000 ",
148.26,Centerpoint Energy Inc,No,None (or less,Capital Gains,"$5,001 - $15,000",
9,,,"than $1,001)",,,
148.27,Campbell Soup Co,No,None (or less,Capital Gains,"$5,001 - $15,000",
0,,,"than $1,001)",,,
148.27,Capital One Financial,No,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
148.27,Cardinal Health Inc,No,None (or less,Capital Gains,"$50,001 -",
2,,,"than $1,001)",,"$100,000 ",
148.27,Caterpillar Inc,No,None (or less,Capital Gains,"$15,001 -",
3,,,"than $1,001)",,"$50,000 ",
148.27,Celgene Corporation - Common Stock,No,None (or less,Capital Gains,"$50,001 -",
4,,,"than $1,001)",,"$100,000 ",
148.27,chesapeake utilities corp,No,None (or less,Capital Gains,"$15,001 -",
5,,,"than $1,001)",,"$50,000 ",
148.27,"Cisco Systems, Inc. - Common Stock",No,None (or less,Capital Gains,"$50,001 -",
6,,,"than $1,001)",,"$100,000 ",
148.27,Cintas Corporation - Common Stock,No,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.27,Darden Restaurants Inc,No,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.27,Citrix Systems Inc,No,None (or less,Capital Gains,"$5,001 - $15,000",
9,,,"than $1,001)",,,
148.28,Coca-Cola Co,No,None (or less,Capital Gains,"$15,001 -",
0,,,"than $1,001)",,"$50,000 ",
148.28,Colgate-Palmolive Co,No,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
148.28,Flowserve Corp,No,None (or less,Capital Gains,"$5,001 - $15,000",
2,,,"than $1,001)",,,
148.28,ConAgra Foods Inc,No,None (or less,Capital Gains,"$5,001 - $15,000",
3,,,"than $1,001)",,,
148.28,Comerica Inc (MI),No,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
148.28,Consolidated Edison Inc,No,None (or less,Capital Gains,"$15,001 -",
5,,,"than $1,001)",,"$50,000 ",
148.28,Cummins Inc,No,None (or less,Capital Gains,"$15,001 -",
6,,,"than $1,001)",,"$50,000 ",
148.28,D S T SYS INC,No,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.28,Danaher Corp,No,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.28,Deere & Co,No,None (or less,Capital Gains,"$15,001 -",
9,,,"than $1,001)",,"$50,000 ",
148.29,Walt Disney Co,No,None (or less,Capital Gains,"$100,001 -",
0,,,"than $1,001)",,"$1,000,000 ",
148.29,Dover Corp,No,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
148.29,Dow Chemical,No,None (or less,Capital Gains,"$50,001 -",
2,,,"than $1,001)",,"$100,000 ",
148.29,E. I. du Pont de Nemours and Company,No,None (or less,Capital Gains,"$50,001 -",
3,,,"than $1,001)",,"$100,000 ",
148.29,eBay Inc. - Common Stock,No,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
148.29,Ecolab Inc,No,None (or less,Capital Gains,"$50,001 -",
5,,,"than $1,001)",,"$100,000 ",
148.29,Edison Intl,No,None (or less,Capital Gains,"$15,001 -",
6,,,"than $1,001)",,"$50,000 ",
148.29,Electronic Arts Inc. - Common Stock,No,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.29,"Electronics for Imaging, Inc. - Common Stock",No,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.29,Emerson Electric Co,No,None (or less,Capital Gains,"$15,001 -",
9,,,"than $1,001)",,"$50,000 ",
148.3,Entergy Corp,No,None (or less,Capital Gains,"$2,501 - $5,000",
0,,,"than $1,001)",,,
148.3,Equity Residential,No,None (or less,Capital Gains,"$5,001 - $15,000",
1,,,"than $1,001)",,,
148.3,LTC PPTYS INC,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
2,,,"than $1,001)",,,
148.3,Comcast Corporation - Class A Common,N/A,None (or less,Capital Gains,"$100,001 -",
3,Stock,,"than $1,001)",,"$1,000,000 ",
148.3,Fifth Third Bancorp - Common Stock,N/A,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
